player_name,birthday,bmi,date,overall_rating,potential,preferred_foot,long_shots,attack,skill,movement,power,mentality,defend,goal_keep
Daniel Pudil,1985-09-27,23.88,2016-06-09,67.0,67.0,left,68.0,61.0,69.0,61.6,72.8,64.6,67.7,11.2
Daniel Redmond,1991-03-02,21.86,2016-03-31,62.0,66.0,left,59.0,58.2,61.4,70.4,57.0,57.4,43.3,11.2
Daniel Royer,1990-05-22,23.1,2016-06-02,71.0,73.0,right,64.0,61.2,67.8,79.6,66.0,56.2,38.3,10.4
Daniel Schwaab,1988-08-23,21.57,2016-04-07,74.0,75.0,right,29.0,58.6,56.8,66.6,58.8,60.2,77.7,10.0
Daniel Seaborne,1987-03-05,20.62,2016-03-10,64.0,64.0,left,16.0,44.6,41.0,49.4,53.8,43.4,64.0,9.0
Daniel Sikorski,1987-11-02,22.78,2016-03-17,62.0,62.0,right,60.0,62.2,55.2,74.2,71.2,50.6,21.0,9.2
Daniel Swanson,1986-12-28,20.98,2016-04-21,64.0,64.0,right,61.0,59.6,65.0,76.0,63.8,66.0,53.3,10.2
Daniel Wass,1989-05-31,22.73,2016-06-02,77.0,78.0,right,74.0,74.0,77.4,76.8,76.2,70.4,69.3,11.2
Daniel Williams,1989-03-08,22.78,2016-04-21,70.0,70.0,right,68.0,63.0,62.6,75.0,77.2,65.8,67.7,9.6
Daniele Baselli,1992-03-23,20.89,2016-05-12,78.0,84.0,right,82.0,72.0,78.8,76.4,74.8,73.0,62.3,9.8
Daniele Bonera,1981-05-31,22.11,2016-05-12,76.0,76.0,right,53.0,45.6,44.0,52.2,63.2,55.8,81.0,3.0
Daniele Cacia,1983-08-23,22.11,2016-04-14,70.0,70.0,right,51.0,63.0,55.0,68.4,69.8,50.6,14.0,12.6
Daniele Capelli,1986-06-20,24.55,2016-03-24,71.0,71.0,right,32.0,39.2,42.2,46.6,64.8,48.2,73.3,7.4
Daniele Croce,1982-09-09,22.81,2016-05-12,74.0,74.0,right,67.0,60.0,69.4,76.2,69.4,69.2,67.0,10.2
Daniele De Rossi,1983-07-24,24.14,2016-05-05,82.0,82.0,right,74.0,69.4,71.0,71.6,79.2,75.4,80.3,9.8
Daniele Dessena,1987-05-10,22.38,2016-05-05,70.0,70.0,right,78.0,64.0,67.8,71.8,75.0,69.4,70.7,4.0
Daniele Galloppa,1985-05-15,22.73,2016-05-19,70.0,70.0,left,70.0,63.4,72.0,67.0,66.6,65.0,45.0,11.0
Daniele Gastaldello,1983-06-25,22.43,2016-04-07,76.0,76.0,right,39.0,47.6,45.2,56.8,62.8,55.0,78.7,7.4
Daniele Padelli,1985-10-25,22.62,2016-04-28,76.0,76.0,left,11.0,13.4,16.6,44.6,34.8,17.4,14.3,74.2
Daniele Paponi,1988-04-16,21.56,2016-04-21,67.0,67.0,right,66.0,66.0,59.6,66.4,70.0,57.8,12.7,11.4
Daniele Rugani,1994-07-29,22.62,2016-04-28,78.0,86.0,right,39.0,48.2,50.4,65.2,64.2,52.6,83.3,6.0
Daniele Verde,1996-06-20,22.76,2016-04-21,69.0,81.0,left,60.0,59.6,59.8,82.4,57.6,53.8,33.3,10.8
Danijel Aleksic,1991-04-30,22.38,2016-05-12,66.0,70.0,left,65.0,62.0,67.4,70.2,66.8,58.2,37.7,14.0
Danijel Milicevic,1986-01-05,21.46,2016-04-21,76.0,76.0,right,79.0,71.6,78.2,77.0,67.4,59.2,28.0,10.2
Danijel Pranjic,1981-12-02,24.12,2016-01-28,73.0,73.0,left,75.0,65.4,74.4,75.6,69.6,72.8,66.3,9.6
Danilo Cataldi,1994-08-06,21.48,2016-05-12,73.0,81.0,right,75.0,64.6,72.0,71.2,69.0,67.0,61.3,9.8
Danilo D'Ambrosio,1988-09-09,23.01,2016-05-12,74.0,74.0,right,58.0,60.6,63.8,75.0,72.4,62.6,76.3,12.4
Danilo Dias,1985-11-06,21.13,2016-04-21,75.0,75.0,right,76.0,69.4,75.8,79.0,65.8,60.2,29.3,7.8
Danilo Fernando Avelar,1989-06-09,22.96,2016-06-16,75.0,76.0,left,67.0,61.6,73.4,71.0,72.4,64.6,75.7,4.0
Danilo Pereira,1991-09-09,22.6,2016-04-21,80.0,84.0,right,67.0,62.6,67.2,68.8,79.2,69.8,81.3,11.6
Danilo Soddimo,1987-09-27,21.48,2016-05-12,68.0,68.0,right,66.0,55.0,64.4,74.2,71.4,49.4,12.7,8.4
Danny Bakker,1995-01-16,22.1,2016-02-25,69.0,76.0,left,61.0,51.8,63.8,65.6,64.2,59.8,68.3,9.0
Danny Drinkwater,1990-03-05,22.1,2016-04-21,76.0,78.0,right,69.0,64.4,67.0,72.0,69.2,68.0,69.3,9.4
Danny Grainger,1986-07-28,24.11,2016-01-07,61.0,61.0,left,62.0,47.6,62.0,60.4,66.4,56.6,60.3,10.8
Danny Hoesen,1991-01-15,23.62,2016-04-14,68.0,71.0,right,62.0,61.4,61.2,73.6,67.6,52.6,27.0,12.0
Danny Holla,1987-12-31,23.39,2016-01-07,67.0,67.0,right,73.0,64.0,69.2,62.8,70.4,70.0,60.0,12.8
Danny Latza,1989-12-07,24.11,2016-04-07,74.0,76.0,right,71.0,57.0,66.6,72.8,74.8,67.8,65.0,11.8
Danny Pugh,1982-10-19,22.78,2016-03-17,59.0,59.0,left,55.0,56.8,59.4,55.8,61.0,58.2,61.7,11.0
Danny Rose,1990-07-02,24.18,2016-03-31,78.0,82.0,left,69.0,66.6,66.0,77.2,72.4,67.8,80.7,11.0
Danny Simpson,1987-01-04,24.39,2016-05-12,72.0,72.0,right,54.0,55.4,52.0,73.0,63.8,65.4,74.7,11.6
Danny Ward,1993-06-22,24.25,2016-03-31,65.0,73.0,right,16.0,16.0,19.4,47.8,36.0,24.8,19.0,64.2
Danny Welbeck,1990-11-26,21.24,2016-03-17,79.0,83.0,right,72.0,75.4,69.4,79.8,78.2,64.6,31.3,10.6
Danny Williams,1988-01-25,22.43,2016-04-28,61.0,61.0,right,57.0,56.2,57.0,64.2,58.8,47.2,44.0,9.4
Dante,1983-10-18,24.65,2016-03-31,80.0,80.0,left,54.0,62.2,63.6,61.4,66.4,62.6,82.7,10.2
Dany Maury,1994-08-18,22.74,2016-02-04,60.0,72.0,right,45.0,50.2,51.4,65.8,58.8,50.6,57.0,9.6
Dany Nounkeu,1986-04-11,23.87,2016-01-07,69.0,69.0,right,37.0,46.6,52.4,68.6,63.6,50.0,66.3,9.8
Darian MacKinnon,1986-01-01,23.39,2016-03-31,57.0,57.0,right,46.0,52.6,52.6,61.6,67.4,59.2,55.0,1.0
Dario Dainelli,1979-06-09,21.5,2016-03-10,74.0,74.0,right,30.0,40.2,45.8,40.2,61.2,45.0,76.7,11.0
Dario Dumic,1992-01-30,26.05,2016-03-17,63.0,68.0,right,41.0,46.8,50.0,57.6,64.6,45.2,61.0,12.8
Dario Kresic,1984-01-11,25.14,2016-03-10,68.0,68.0,right,13.0,16.2,17.2,43.0,46.0,19.8,12.3,67.6
Dario Lezcano,1990-06-30,22.81,2016-04-28,71.0,75.0,right,68.0,62.8,68.0,73.6,72.6,70.2,36.7,10.0
Dario Melnjak,1992-10-31,23.1,2016-04-21,64.0,68.0,left,53.0,50.6,54.4,66.6,58.6,57.0,65.7,9.2
Dario Tanda,1995-01-02,22.81,2016-02-11,63.0,70.0,right,48.0,58.0,64.6,73.4,55.6,58.8,49.3,10.2
Dario Vidosic,1987-04-08,22.11,2016-04-07,70.0,70.0,right,67.0,67.2,73.0,71.2,68.0,63.0,50.7,12.4
Dario Vujicevic,1990-04-01,22.73,2016-04-14,68.0,69.0,right,64.0,57.8,69.2,65.8,65.4,60.4,53.3,13.4
Dario Zanatta,1997-05-01,22.11,2016-05-05,53.0,69.0,right,32.0,48.2,50.0,57.8,49.0,40.0,26.7,10.6
Dariusz Dudka,1983-12-09,25.09,2016-04-28,65.0,65.0,right,56.0,58.6,61.8,59.6,66.6,64.4,64.7,9.6
Dariusz Jarecki,1981-03-23,21.84,2016-04-07,58.0,58.0,left,58.0,47.6,60.6,65.8,65.2,53.6,57.3,8.4
Dariusz Kolodziej,1982-04-17,23.1,2016-02-11,58.0,58.0,left,64.0,54.6,58.0,53.2,66.0,59.4,39.7,10.2
Dariusz Trela,1989-12-05,22.6,2016-01-28,63.0,65.0,right,14.0,16.6,16.4,46.0,39.0,22.2,16.3,62.2
Dariusz Zjawinski,1986-08-19,21.24,2016-03-24,58.0,58.0,right,62.0,49.8,50.8,63.8,65.4,50.0,35.0,11.8
Darko Bodul,1989-01-11,23.62,2016-01-21,66.0,67.0,right,70.0,63.0,64.6,66.0,72.4,52.4,24.7,9.6
Darko Jevtic,1993-02-08,22.11,2016-04-28,70.0,76.0,left,65.0,60.0,68.0,66.8,68.8,60.0,39.7,11.2
Darko Lazovic,1990-09-15,20.36,2016-04-28,73.0,76.0,right,60.0,65.6,71.0,74.0,53.0,57.4,29.0,11.0
Darnell Fisher,1994-04-04,22.74,2016-04-07,59.0,69.0,right,26.0,37.6,46.6,63.6,46.8,45.2,63.3,11.2
Darnell Furlong,1995-10-31,23.43,2016-06-09,66.0,76.0,right,30.0,50.4,51.4,66.6,53.2,56.2,66.0,11.0
Darren Bent,1984-02-06,22.45,2016-04-07,73.0,73.0,right,68.0,67.8,57.6,71.8,68.4,53.8,20.0,8.8
Darren Fletcher,1984-02-01,22.11,2016-03-03,75.0,75.0,right,73.0,72.4,66.2,61.8,73.2,70.2,79.3,10.4
Darren Keet,1989-08-05,23.06,2016-01-28,69.0,70.0,left,13.0,17.6,25.4,48.2,44.4,24.6,13.3,69.2
Darren Lyon,1995-06-08,22.16,2016-06-16,56.0,68.0,right,40.0,46.4,50.0,66.2,53.0,48.0,53.3,10.4
Darren O'Dea,1987-02-04,23.88,2016-03-10,68.0,68.0,left,26.0,42.8,44.2,56.6,50.4,48.0,69.3,8.8
Darren Pratley,1985-04-22,20.05,2016-05-05,67.0,67.0,right,66.0,65.6,60.6,69.6,77.6,65.8,63.7,11.8
Darren Randolph,1987-05-12,23.22,2016-04-21,73.0,73.0,right,14.0,18.0,22.0,48.8,39.8,25.2,13.7,73.8
Darren Rosheuvel,1994-05-15,22.81,2016-03-03,62.0,71.0,left,46.0,50.0,55.0,66.6,62.4,58.2,59.3,12.8
Darryl Lachman,1989-11-11,23.24,2016-04-07,71.0,73.0,right,37.0,50.0,56.0,56.6,68.0,55.2,70.0,11.2
Darryl Westlake,1991-03-01,22.74,2016-04-28,64.0,68.0,right,29.0,40.6,57.2,70.8,54.4,45.2,65.7,9.6
Darwin Andrade,1991-02-11,22.74,2016-03-24,70.0,72.0,left,23.0,50.2,47.8,76.2,59.2,51.6,70.3,7.2
Darwin Machis,1993-02-07,24.9,2016-04-14,67.0,73.0,right,70.0,58.2,63.0,80.8,66.2,52.8,26.3,9.8
Daryl Murphy,1983-03-15,23.24,2016-04-21,73.0,73.0,left,73.0,69.2,62.2,65.4,76.6,66.4,22.0,10.8
Daryll Meggatt,1990-10-20,24.68,2016-03-10,53.0,57.0,left,22.0,32.0,34.0,59.8,45.0,44.4,65.0,11.0
Dave Bulthuis,1990-06-28,24.25,2016-03-10,69.0,71.0,left,24.0,47.2,41.8,45.8,62.4,49.4,68.3,12.6
David Abraham,1986-07-15,23.5,2016-03-24,75.0,75.0,right,50.0,60.8,60.8,68.0,70.0,60.0,76.0,9.0
David Alaba,1992-06-24,23.43,2016-04-28,85.0,88.0,left,81.0,74.6,81.4,83.6,80.2,78.0,83.3,10.0
David Amoo,1991-04-13,24.39,2016-04-14,66.0,70.0,right,56.0,59.6,56.8,79.6,65.2,52.0,40.0,12.8
David Barral,1983-05-10,23.33,2016-02-11,74.0,74.0,right,63.0,67.0,65.4,72.0,75.6,66.4,41.0,10.4
David Bellion,1982-11-27,23.99,2016-02-18,61.0,61.0,right,60.0,59.6,59.2,61.0,61.0,50.4,34.7,9.8
David Carney,1983-11-30,21.48,2016-03-10,64.0,64.0,left,72.0,54.8,62.8,67.4,69.8,60.4,62.0,10.6
David Cobeno,1982-04-06,23.88,2016-03-24,69.0,69.0,right,10.0,15.2,14.8,55.0,39.4,25.2,12.3,71.0
David Cornell,1991-03-28,22.34,2016-03-31,58.0,62.0,right,12.0,17.2,19.0,49.8,33.8,26.0,14.0,59.0
David Davis,1991-02-20,25.97,2016-04-21,68.0,72.0,right,65.0,56.4,58.4,73.8,73.8,63.2,68.0,8.0
David De Gea,1990-11-07,22.03,2016-04-21,87.0,90.0,right,12.0,19.0,23.2,58.0,39.8,37.6,15.7,85.8
David Destorme,1979-08-30,23.24,2016-03-24,64.0,64.0,right,67.0,65.0,60.0,46.2,58.4,64.2,39.7,12.0
David Ducourtioux,1978-04-11,21.52,2016-04-21,68.0,68.0,right,70.0,61.2,58.0,63.4,66.0,68.0,69.7,8.8
David Edgar,1987-05-19,19.77,2016-06-09,67.0,67.0,right,58.0,55.2,56.4,63.2,70.4,55.2,66.0,11.6
David Edwards,1986-02-03,23.33,2016-04-21,68.0,68.0,right,53.0,67.6,62.4,67.4,69.4,65.0,57.3,12.4
David Elm,1983-01-10,23.13,2016-03-31,66.0,66.0,left,61.0,62.2,58.2,59.0,70.2,53.6,37.3,8.0
David Goodwillie,1989-03-28,23.48,2016-06-09,68.0,68.0,right,62.0,65.2,56.4,75.4,71.0,58.6,17.7,11.6
David Hubert,1988-02-12,23.6,2016-03-10,68.0,68.0,right,65.0,58.4,58.6,60.2,68.6,61.0,66.7,12.8
David Ivan,1995-02-01,22.81,2016-05-12,67.0,77.0,left,56.0,56.2,62.6,71.8,57.2,66.0,53.3,10.6
David Jones,1984-11-04,23.87,2016-03-17,71.0,71.0,left,64.0,65.2,71.4,66.6,65.6,64.6,65.0,12.8
David Junca,1993-11-16,21.86,2016-04-28,70.0,76.0,left,46.0,52.8,61.2,76.4,63.4,60.4,68.7,10.4
David Kinsombi,1995-12-12,22.11,2016-01-28,63.0,73.0,right,32.0,43.4,44.2,63.6,57.6,46.8,61.7,11.0
David Lopez,1989-10-09,24.14,2016-05-05,76.0,77.0,right,72.0,63.4,61.4,63.8,75.0,67.6,74.7,10.8
David Mateos,1987-04-22,22.62,2016-06-23,67.0,67.0,right,39.0,50.8,52.4,46.8,53.8,50.0,68.0,12.4
David Meyler,1989-05-29,24.39,2016-06-02,71.0,72.0,right,60.0,67.2,63.6,61.8,71.6,66.2,63.0,12.6
David Mitchell,1990-04-04,24.82,2016-04-07,57.0,59.0,right,17.0,20.4,16.4,45.4,38.4,22.8,15.3,58.0
David Moberg Karlsson,1994-03-20,24.11,2016-05-19,65.0,73.0,left,58.0,57.4,52.0,70.6,57.4,45.0,17.3,10.0
David Navarro,1980-05-25,23.24,2016-03-24,75.0,75.0,right,27.0,51.8,48.0,46.4,60.0,59.8,76.0,9.6
David Ngog,1989-04-01,21.75,2016-01-14,69.0,70.0,right,63.0,67.2,63.4,65.4,66.0,60.2,29.3,12.8
David Nugent,1985-05-02,24.97,2016-02-19,71.0,71.0,right,68.0,66.2,60.8,72.8,70.6,58.8,22.3,14.0
David Ospina,1988-08-31,23.6,2016-02-18,78.0,79.0,right,12.0,16.8,19.8,46.4,37.8,25.4,11.7,78.6
David Pizarro,1979-09-11,22.4,2016-04-14,76.0,76.0,right,65.0,62.4,78.2,65.0,57.4,70.0,60.7,8.2
David Raven,1985-03-10,21.84,2016-03-10,65.0,65.0,right,28.0,49.6,50.8,65.0,63.2,46.0,65.0,11.2
David Rozehnal,1980-07-05,22.0,2016-04-07,73.0,73.0,right,55.0,51.0,49.8,42.8,62.4,52.8,76.0,11.8
David Silva,1986-01-08,23.18,2016-03-17,86.0,86.0,left,79.0,76.6,84.6,82.4,68.0,69.0,27.3,1.0
David Simon,1989-12-31,22.15,2016-03-03,74.0,76.0,right,45.0,57.4,61.2,73.8,64.4,59.2,72.0,10.6
David Stockdale,1985-09-28,23.12,2016-04-07,72.0,72.0,right,13.0,14.6,16.8,40.2,34.0,28.8,13.0,72.8
David Syme,1997-06-23,23.75,2016-02-04,55.0,69.0,right,23.0,32.4,30.8,60.8,47.2,41.6,58.7,10.8
David Texeira,1991-02-27,24.28,2016-03-10,66.0,69.0,right,59.0,58.0,55.6,67.2,65.8,53.4,22.3,10.2
David Timor Copovi,1989-10-17,22.43,2016-01-28,74.0,76.0,left,75.0,55.0,73.4,58.8,79.4,72.0,69.0,10.2
David Vaughan,1983-02-18,24.86,2016-03-03,68.0,68.0,left,75.0,65.0,70.6,57.8,63.6,69.0,66.3,8.2
David Villa,1981-12-03,22.45,2016-05-19,81.0,81.0,right,81.0,75.6,78.0,76.0,73.2,67.4,29.3,9.2
David Wilson,1994-09-06,20.89,2016-03-10,52.0,63.0,right,43.0,44.2,46.0,59.0,53.8,47.6,43.3,9.8
David Wotherspoon,1991-12-29,23.43,2016-04-21,65.0,67.0,right,63.0,56.8,66.8,70.0,67.2,54.0,61.0,10.6
David Zibung,1984-01-10,24.65,2016-03-10,65.0,65.0,right,16.0,16.0,20.2,43.8,38.8,27.2,14.3,65.0
Davide Astori,1987-01-07,22.6,2016-06-09,79.0,79.0,left,36.0,44.8,44.4,64.8,66.2,49.6,83.3,4.0
Davide Bertoncini,1991-05-09,24.28,2016-03-03,61.0,65.0,right,44.0,32.4,35.2,55.6,60.2,37.0,64.7,7.8
Davide Biondini,1983-01-24,23.71,2016-04-21,70.0,70.0,right,72.0,61.0,63.0,68.8,71.2,64.2,64.7,10.8
Davide Brivio,1988-08-17,23.88,2016-04-21,72.0,72.0,left,80.0,57.6,63.6,67.2,79.0,54.8,77.0,8.6
Davide Calabria,1996-12-06,24.39,2016-04-21,65.0,77.0,right,40.0,48.6,51.0,64.4,58.2,53.0,68.0,11.2
Davide Di Gennaro,1988-06-16,21.9,2016-06-16,70.0,70.0,left,70.0,62.8,73.2,73.4,67.6,65.0,45.0,10.8
Davide Gavazzi,1986-05-07,21.51,2016-05-12,67.0,67.0,right,70.0,61.0,62.4,68.6,72.2,60.8,48.3,9.2
Davide Lanzafame,1987-02-09,23.01,2016-02-18,67.0,67.0,right,68.0,65.2,65.4,75.2,63.6,52.0,15.3,11.0
Davide Moro,1982-01-02,22.45,2016-04-07,65.0,65.0,right,53.0,57.6,58.2,69.2,65.2,60.4,59.0,11.4
Davide Santon,1991-01-02,24.14,2016-05-05,75.0,78.0,right,68.0,64.0,67.8,71.0,74.8,65.4,75.7,12.4
Davide Zappacosta,1992-06-11,20.89,2016-04-28,76.0,82.0,right,70.0,67.6,66.6,77.6,73.0,66.8,76.3,9.0
Davide Zoboli,1981-10-08,21.75,2016-04-28,65.0,65.0,right,28.0,34.8,37.8,42.8,53.6,39.2,65.7,10.2
Davie Selke,1995-01-20,22.03,2016-03-24,72.0,82.0,right,63.0,61.2,54.8,69.8,71.4,57.8,23.0,11.0
Davino Verhulst,1987-11-25,24.1,2016-04-14,70.0,70.0,right,13.0,15.6,18.6,51.8,41.8,30.0,12.7,70.8
Davy de Fauw,1981-07-08,20.05,2016-02-11,69.0,69.0,right,69.0,54.4,67.0,59.2,70.2,64.2,71.3,12.6
Davy Proepper,1991-09-02,20.98,2016-03-17,77.0,82.0,right,82.0,67.4,74.2,70.0,78.8,71.4,59.7,11.0
Dawid Kownacki,1997-03-14,23.22,2016-05-05,63.0,78.0,right,53.0,60.0,53.6,67.6,61.2,58.6,15.7,11.4
Dawid Kudla,1992-03-21,23.75,2016-04-14,63.0,69.0,right,20.0,17.2,16.8,46.2,43.2,25.2,15.7,63.6
Dawid Plizga,1985-11-17,24.48,2016-04-21,66.0,66.0,right,59.0,60.4,64.6,73.6,66.6,55.2,32.0,10.2
Dawid Soldecki,1987-04-29,22.69,2016-04-21,61.0,61.0,right,33.0,51.2,48.8,54.0,58.4,54.4,59.0,10.6
Daylon Claasen,1990-01-28,22.4,2016-05-05,64.0,66.0,right,48.0,56.6,63.2,76.6,58.0,65.0,59.3,14.2
De Amo,1990-01-13,22.37,2016-01-21,65.0,67.0,right,18.0,34.8,41.8,54.2,52.0,48.6,68.3,11.6
Dealbert,1983-01-01,23.22,2016-02-19,72.0,72.0,right,46.0,48.8,45.8,56.0,63.8,54.2,73.0,11.6
Dean Hammond,1983-03-07,22.11,2016-06-09,69.0,69.0,right,64.0,57.6,62.0,61.2,70.6,63.6,61.3,11.8
Dean Marney,1984-01-31,21.56,2016-03-31,70.0,70.0,right,66.0,67.2,64.4,66.8,75.4,67.6,67.7,9.8
Dean Whitehead,1982-01-21,23.06,2016-04-21,71.0,71.0,right,61.0,63.8,67.2,65.4,69.6,70.2,69.0,11.8
DeAndre Yedlin,1993-07-09,24.48,2016-06-09,71.0,80.0,right,51.0,59.2,58.2,83.0,69.4,59.6,68.0,10.2
Declan John,1995-06-30,23.67,2016-04-21,68.0,79.0,left,53.0,57.0,61.6,78.8,62.6,56.2,66.7,9.6
Declan Rudd,1991-01-16,23.37,2016-01-21,70.0,74.0,right,19.0,18.2,21.4,49.6,34.4,26.6,13.3,70.2
Dedryck Boyata,1990-11-28,23.75,2016-04-28,72.0,76.0,right,25.0,47.0,40.4,60.2,61.0,48.6,72.3,10.6
Deivid,1989-01-27,20.67,2016-04-07,72.0,73.0,right,39.0,50.6,53.2,64.4,57.6,57.8,73.7,13.6
Dejan Janjatovic,1992-02-25,25.33,2016-02-04,65.0,69.0,right,63.0,60.6,64.2,61.0,65.2,64.8,57.3,11.0
Dejan Lekic,1985-06-07,23.61,2016-01-07,70.0,70.0,right,61.0,65.8,55.2,47.0,65.0,57.6,28.3,7.6
Dejan Lovren,1989-07-05,23.75,2016-03-10,79.0,81.0,right,34.0,55.8,48.6,54.4,64.4,57.8,84.3,11.6
Dele Alli,1996-04-11,22.16,2016-04-21,77.0,89.0,right,74.0,69.4,67.4,72.2,73.0,70.6,60.0,8.2
Deleu,1984-03-01,25.1,2016-04-21,64.0,64.0,right,59.0,52.4,55.8,73.4,66.8,57.4,63.7,9.0
Delvin N'Dinga,1988-03-14,21.48,2016-03-17,73.0,73.0,right,46.0,56.6,57.8,70.2,70.4,62.0,73.0,10.0
Demarai Gray,1996-06-28,20.95,2016-04-07,68.0,82.0,right,63.0,52.4,62.0,81.8,61.2,45.6,21.0,10.2
Demba Camara,1994-11-07,23.88,2016-02-25,66.0,75.0,right,59.0,60.4,60.2,72.4,68.0,55.8,24.7,12.6
Deni Milosevic,1995-03-09,21.84,2016-06-16,65.0,73.0,right,71.0,57.8,66.6,65.2,63.4,48.8,33.0,9.0
Denis Alibec,1991-01-05,21.83,2016-05-19,71.0,75.0,left,72.0,68.8,66.4,66.8,69.0,66.0,48.7,9.6
Denis Cheryshev,1990-12-26,23.39,2016-05-26,79.0,83.0,left,69.0,70.0,70.8,80.0,74.2,69.8,54.3,10.4
Denis Odoi,1988-05-27,21.24,2016-04-14,72.0,72.0,right,54.0,57.8,64.2,82.0,71.6,61.4,71.0,10.6
Denis Oliynyk,1987-06-16,22.81,2016-02-18,69.0,69.0,right,54.0,63.0,70.8,72.4,66.8,61.2,33.0,11.4
Denis Petric,1988-05-24,24.14,2016-05-26,71.0,71.0,right,14.0,13.6,14.0,47.4,36.6,18.2,12.3,68.8
Denis Popovic,1989-10-15,21.18,2016-04-28,64.0,66.0,right,57.0,52.2,64.0,66.8,61.8,64.8,54.3,10.8
Denis Streker,1991-04-06,22.78,2016-04-07,62.0,66.0,right,39.0,51.6,52.0,57.0,63.2,53.8,63.0,13.0
Denis Suarez,1994-01-06,22.18,2016-05-19,79.0,86.0,right,73.0,67.8,79.0,78.4,66.6,62.6,41.7,9.6
Denis Thomalla,1992-08-16,21.77,2016-06-23,61.0,65.0,right,58.0,59.8,56.4,66.0,59.2,51.2,26.3,12.8
Denis Tonucci,1988-09-06,23.33,2016-05-12,68.0,68.0,right,42.0,40.8,39.8,55.8,63.0,47.0,70.0,17.0
Deniss Rakels,1992-08-20,23.1,2016-04-28,68.0,74.0,right,55.0,63.8,58.6,73.2,73.0,54.6,20.3,12.4
Deniz Dogan,1979-10-20,23.6,2016-02-11,65.0,65.0,left,40.0,44.4,54.6,57.6,60.0,52.8,66.3,11.0
Deniz Hummet,1996-09-13,22.6,2016-03-10,60.0,70.0,right,54.0,52.4,40.2,55.0,64.2,47.6,21.3,12.0
Deniz Tueruec,1993-01-29,22.81,2016-03-03,70.0,76.0,left,75.0,60.8,69.6,74.0,71.0,64.0,54.7,12.2
Deniz Yilmaz,1988-02-26,23.6,2016-05-12,70.0,70.0,right,70.0,66.4,61.8,65.8,71.6,61.0,23.3,11.8
Denni Avdic,1988-09-05,21.42,2016-04-21,66.0,66.0,right,65.0,61.2,56.2,51.8,72.6,51.2,33.7,11.6
Dennis Aogo,1987-01-14,25.36,2016-04-07,76.0,76.0,left,66.0,65.8,76.8,73.0,73.0,69.4,77.0,11.0
Dennis Appiah,1992-06-09,21.52,2016-03-10,71.0,76.0,right,38.0,53.8,55.6,67.4,65.0,58.2,73.0,10.0
Dennis Daube,1989-07-11,24.14,2016-03-03,67.0,69.0,right,63.0,58.8,69.6,67.4,66.8,60.2,56.3,13.4
Dennis Diekmeier,1989-10-20,22.34,2016-01-28,75.0,77.0,right,43.0,54.8,63.2,73.0,66.6,61.6,74.0,9.6
Dennis Grote,1986-08-09,21.84,2016-05-05,64.0,64.0,left,59.0,58.4,61.6,72.4,63.2,57.8,54.7,9.4
Dennis Praet,1994-05-14,23.99,2016-04-28,77.0,84.0,right,74.0,71.2,74.2,74.8,70.4,67.4,53.0,9.2
Dennis van der Heijden,1997-02-17,20.08,2016-03-03,60.0,75.0,right,50.0,54.8,40.0,59.8,62.2,39.8,21.3,10.8
Derek Asamoah,1981-05-01,22.11,2016-03-10,61.0,61.0,right,59.0,50.4,54.6,78.6,55.0,48.2,38.0,12.4
Derek Riordan,1983-01-16,19.39,2016-03-10,59.0,59.0,right,56.0,57.4,58.6,65.6,57.2,53.4,23.3,11.6
Derk Boerrigter,1986-10-16,22.98,2016-01-21,65.0,65.0,left,64.0,64.0,63.6,67.2,66.0,57.4,31.7,12.8
Derley,1987-12-29,24.14,2016-06-09,73.0,73.0,right,69.0,70.6,61.2,70.8,73.8,63.6,29.3,9.2
Derlis Gonzalez,1994-03-20,21.44,2016-05-05,74.0,81.0,right,66.0,64.2,64.8,82.2,69.8,59.0,39.3,14.4
Derrick Luckassen,1995-07-03,21.77,2016-02-11,68.0,75.0,right,68.0,48.4,62.4,70.0,71.4,52.0,70.0,8.2
Derrick Tshimanga,1988-11-06,23.48,2016-03-24,71.0,71.0,left,53.0,60.2,61.0,80.4,68.6,62.0,71.3,10.0
Desevio Payne,1995-11-30,21.84,2016-02-18,64.0,74.0,right,35.0,46.6,44.8,62.4,51.4,50.0,69.7,11.2
Deyverson,1991-05-08,22.08,2016-05-12,76.0,80.0,left,66.0,70.6,54.2,72.6,75.6,63.6,32.0,10.6
Diafra Sakho,1989-12-24,23.6,2016-04-07,75.0,77.0,right,64.0,69.2,62.8,73.0,73.0,62.6,23.0,12.0
Diallo Guidilleye,1989-12-30,23.43,2016-04-28,69.0,71.0,right,53.0,37.6,57.8,69.4,69.6,56.6,67.0,11.6
Dickson Etuhu,1982-06-08,24.71,2016-02-11,65.0,65.0,right,54.0,55.6,53.8,56.6,74.8,61.6,64.7,10.4
Dico Koppers,1992-01-31,22.81,2016-01-21,67.0,71.0,left,35.0,54.4,57.2,68.6,61.8,57.8,71.3,12.0
Didier Drogba,1978-03-11,22.6,2016-06-23,81.0,81.0,right,80.0,76.2,74.8,67.0,78.8,73.4,27.7,9.8
Didier Konan Ya,1984-05-22,24.07,2016-05-12,70.0,70.0,right,71.0,67.8,66.0,75.6,70.6,57.6,25.0,10.8
Didier Ovono,1983-01-23,25.07,2016-04-28,70.0,70.0,right,12.0,17.0,17.2,59.2,42.8,24.2,14.0,69.8
